Sequantial Record

--- RUN: Dataset\1M data.csv (1000000 records) ---
Task,Time_ms,Time_Seconds
Data_Loading,1480.24,1.48024
Basic_Stats,4.4948,0.0044948
Histogram,2.5182,0.0025182
Pearson_Correlation,1.8979,0.0018979
Z_Score_Outliers,1.5175,0.0015175
Moving_Average,0.3905,0.0003905
Sorting,48.5854,0.0485854
Total_All_Tasks,1545.9,1.5459

--- RUN: Dataset\10M data.csv (10000000 records) ---
Task,Time_ms,Time_Seconds
Data_Loading,15411,15.411
Basic_Stats,30.0219,0.0300219
Histogram,22.8553,0.0228553
Pearson_Correlation,17.3866,0.0173866
Z_Score_Outliers,17.8549,0.0178549
Moving_Average,0.3681,0.0003681
Sorting,665.898,0.665898
Total_All_Tasks,16173.4,16.1734

--- RUN: Dataset\100M data.csv (100000000 records) ---
Task,Time_ms,Time_Seconds
Data_Loading,747951,747.951
Basic_Stats,142.667,0.142667
Histogram,86.487,0.086487
Pearson_Correlation,63.9664,0.0639664
Z_Score_Outliers,62.5385,0.0625385
Moving_Average,0.5574,0.0005574
Sorting,4384.35,4.38435
Total_All_Tasks,752700,752.7
